gene1,gene2,score
ENSG00000004059,ENSG00000135318,0.62
ENSG00000004059,ENSG00000108861,0.058
ENSG00000004059,ENSG00000149182,0.81
ENSG00000004059,ENSG00000023318,0.82
ENSG00000004059,ENSG00000170348,0.81
ENSG00000004059,ENSG00000105559,0.6
ENSG00000004059,ENSG00000088386,0.33
ENSG00000004059,ENSG00000166800,0.33
ENSG00000004059,ENSG00000063978,0.6
ENSG00000004059,ENSG00000178498,0.16
ENSG00000004059,ENSG00000129083,0.85
ENSG00000004059,ENSG00000157601,0.37
ENSG00000004059,ENSG00000134817,0.28
ENSG00000004059,ENSG00000106605,0.15
ENSG00000004059,ENSG00000095139,0.84
ENSG00000004059,ENSG00000114480,0.18
ENSG00000004059,ENSG00000100196,0.81
ENSG00000004059,ENSG00000103769,0.7
ENSG00000004059,ENSG00000265808,0.81
ENSG00000004059,ENSG00000100083,0.6
ENSG00000004059,ENSG00000124541,0.32
ENSG00000004059,ENSG00000101421,0.6
ENSG00000004059,ENSG00000174903,0.81
ENSG00000004059,ENSG00000100307,0.35
ENSG00000004059,ENSG00000096401,0.098
ENSG00000004059,ENSG00000124380,0.18
ENSG00000004059,ENSG00000103202,0.35
ENSG00000004059,ENSG00000184840,0.81
ENSG00000004059,ENSG00000140374,0.35
ENSG00000004059,ENSG00000198399,0.69
ENSG00000004059,ENSG00000166747,0.28
ENSG00000004059,ENSG00000166557,0.81
ENSG00000004059,ENSG00000026103,0.35
ENSG00000004059,ENSG00000135334,0.6
ENSG00000004059,ENSG00000141736,0.23
ENSG00000004059,ENSG00000152684,0.0072
ENSG00000004059,ENSG00000111540,0.31
ENSG00000004059,ENSG00000126267,0.35
ENSG00000004059,ENSG00000138069,0.81
ENSG00000004059,ENSG00000124214,0.6
ENSG00000004059,ENSG00000158623,0.86
ENSG00000004059,ENSG00000144867,0.3
ENSG00000004059,ENSG00000118017,0.35
ENSG00000004059,ENSG00000090565,0.88
ENSG00000004059,ENSG00000143393,0.37
ENSG00000004059,ENSG00000163602,0.6
ENSG00000004059,ENSG00000105669,0.85
ENSG00000004059,ENSG00000148248,0.81
ENSG00000004059,ENSG00000213983,0.28
ENSG00000004059,ENSG00000242247,0.81
ENSG00000004059,ENSG00000213465,0.39
ENSG00000004059,ENSG00000177463,0.6
ENSG00000004059,ENSG00000251322,0.21
ENSG00000004059,ENSG00000132254,0.76
ENSG00000004059,ENSG00000269335,0.85
ENSG00000004059,ENSG00000213265,0.39
ENSG00000004059,ENSG00000134287,0.77
ENSG00000004059,ENSG00000112294,0.3
ENSG00000004059,ENSG00000188042,0.28
ENSG00000004059,ENSG00000171989,0.31
ENSG00000004059,ENSG00000164292,0.35
ENSG00000004059,ENSG00000010072,0.6
ENSG00000004059,ENSG00000055211,0.31
ENSG00000004059,ENSG00000149257,0.77
ENSG00000004059,ENSG00000166796,0.3
ENSG00000004059,ENSG00000167770,0.6
ENSG00000004059,ENSG00000140945,0.058
ENSG00000004059,ENSG00000113194,0.098
ENSG00000004059,ENSG00000122218,0.86
ENSG00000004059,ENSG00000205726,0.69
ENSG00000004059,ENSG00000164068,0.6
ENSG00000004059,ENSG00000125656,0.15
ENSG00000004059,ENSG00000129455,0.62
ENSG00000004059,ENSG00000181789,0.86
ENSG00000004059,ENSG00000138768,0.81
ENSG00000004059,ENSG00000188603,0.6
ENSG00000004059,ENSG00000213047,0.6
ENSG00000004059,ENSG00000132842,0.6
ENSG00000004059,ENSG00000138175,0.42
ENSG00000004059,ENSG00000071626,0.18
ENSG00000004059,ENSG00000123124,0.058
ENSG00000004059,ENSG00000138834,0.63
ENSG00000004059,ENSG00000105520,0.62
ENSG00000004059,ENSG00000119522,0.6
ENSG00000004059,ENSG00000117054,0.35
ENSG00000004059,ENSG00000005243,0.82
ENSG00000004059,ENSG00000166682,0.15
ENSG00000004059,ENSG00000135069,0.31
ENSG00000004059,ENSG00000036565,0.35
ENSG00000004059,ENSG00000168374,0.88
ENSG00000004059,ENSG00000134970,0.81
ENSG00000004059,ENSG00000132478,0.6
ENSG00000004059,ENSG00000167461,0.6
ENSG00000004059,ENSG00000106541,0.15
ENSG00000004059,ENSG00000016402,0.36
ENSG00000004059,ENSG00000163295,0.26
ENSG00000004059,ENSG00000160789,0.25
ENSG00000004059,ENSG00000173456,0.098
ENSG00000004059,ENSG00000105438,0.81
ENSG00000004059,ENSG00000132744,0.38
ENSG00000004059,ENSG00000086598,0.81
ENSG00000004059,ENSG00000236334,0.098
ENSG00000004059,ENSG00000107862,0.87
ENSG00000004059,ENSG00000188906,0.6
ENSG00000004059,ENSG00000165637,0.33
ENSG00000004059,ENSG00000101199,0.81
ENSG00000004059,ENSG00000164144,0.6
ENSG00000004059,ENSG00000197111,0.33
ENSG00000004059,ENSG00000184432,0.85
ENSG00000004059,ENSG00000111481,0.86
ENSG00000004059,ENSG00000120370,0.76
ENSG00000004059,ENSG00000169223,0.35
ENSG00000004059,ENSG00000131242,0.6
ENSG00000004059,ENSG00000169045,0.6
ENSG00000004059,ENSG00000150656,0.15
ENSG00000004059,ENSG00000156675,0.7
ENSG00000004059,ENSG00000161681,0.21
ENSG00000004059,ENSG00000120526,0.86
ENSG00000004059,ENSG00000137807,0.6
ENSG00000004059,ENSG00000126010,0.33
ENSG00000004059,ENSG00000136240,0.81
ENSG00000003056,ENSG00000117533,0.72
ENSG00000003056,ENSG00000124333,0.81
ENSG00000003056,ENSG00000136738,0.37
ENSG00000003056,ENSG00000105355,0.89
ENSG00000003056,ENSG00000151503,0.6
ENSG00000003056,ENSG00000187714,0.72
ENSG00000003056,ENSG00000148719,0.62
ENSG00000003056,ENSG00000213463,0.058
ENSG00000003056,ENSG00000122194,0.44
ENSG00000003056,ENSG00000115145,0.37
ENSG00000003056,ENSG00000072274,0.72
ENSG00000003056,ENSG00000118640,0.81
ENSG00000003056,ENSG00000138760,0.72
ENSG00000003056,ENSG00000257335,0.71
ENSG00000003056,ENSG00000173391,0.25
ENSG00000003056,ENSG00000042753,0.81
ENSG00000003056,ENSG00000149823,0.81
ENSG00000003056,ENSG00000143952,0.81
ENSG00000003056,ENSG00000124222,0.81
ENSG00000003056,ENSG00000100280,0.81
ENSG00000003056,ENSG00000120438,0.25
ENSG00000003056,ENSG00000081479,0.25
ENSG00000003056,ENSG00000127022,0.25
ENSG00000003056,ENSG00000010610,0.72
ENSG00000003056,ENSG00000103365,0.74
ENSG00000003056,ENSG00000220205,0.81
ENSG00000003056,ENSG00000185359,0.33
ENSG00000003056,ENSG00000182287,0.81
ENSG00000003056,ENSG00000104915,0.81
ENSG00000003056,ENSG00000079805,0.81
ENSG00000003056,ENSG00000135677,0.81
ENSG00000003056,ENSG00000141252,0.81
ENSG00000003056,ENSG00000197081,0.95
ENSG00000003056,ENSG00000144674,0.27
ENSG00000003056,ENSG00000143162,0.73
ENSG00000003056,ENSG00000123570,0.81
ENSG00000003056,ENSG00000183662,0.28
ENSG00000003056,ENSG00000089009,0.3
ENSG00000003056,ENSG00000091513,0.72
ENSG00000003056,ENSG00000105612,0.81
ENSG00000003056,ENSG00000122705,0.81
ENSG00000003056,ENSG00000106367,0.81
ENSG00000003056,ENSG00000223501,0.81
ENSG00000003056,ENSG00000152056,0.81
ENSG00000003056,ENSG00000049245,0.81
ENSG00000003056,ENSG00000101160,0.81
ENSG00000003056,ENSG00000135334,0.6
ENSG00000003056,ENSG00000100083,0.9